,average,max drawdown(MDD),negative day,negative periods,negative week,portfolio value(fAPV),positive periods,postive day,postive week,sharpe ratio(SR)
nn,1.000634789466858,0.2155950665473938,887,1471,338,4.681316375732422,1289,1873,2422,0.05129045993089676
best,1.0004488229751587,0.4992024302482605,1639,1248,1523,1.9194550514221191,1135,1120,1237,0.021514229476451874
crp,1.0000463724136353,0.14637690782546997,1355,1411,1230,1.1147814989089966,1349,1405,1530,0.012408267706632614
ubah,1.0000321865081787,0.164786696434021,1320,1420,1220,1.067264437675476,1340,1440,1540,0.007757573388516903
anticor,1.0001837015151978,0.2266908884048462,1171,1471,971,1.5189294815063477,1289,1589,1789,0.02262522093951702
olmar,0.9997208118438721,0.7440970540046692,1705,1563,1868,0.3430394232273102,1110,1055,892,-0.018882375210523605
pamr,0.9983577132225037,0.9921388942748308,2327,1791,2745,0.008149543777108192,956,433,15,-0.11642835289239883
wmamr,0.9998335242271423,0.6452838480472565,1805,1586,1963,0.49450603127479553,1133,955,797,-0.012445172294974327
cwmr,0.9981868267059326,0.9951110337860882,2362,1790,2755,0.005017869174480438,954,398,5,-0.12574991583824158
rmr,0.999629020690918,0.7916831523180008,1711,1574,2018,0.268078088760376,1098,1049,742,-0.025403179228305817
ons,1.0000364780426025,0.1954396367073059,1540,1522,1434,1.06178879737854,1238,1220,1326,0.006692895200103521
up,1.0000455379486084,0.14803552627563477,1355,1415,1228,1.112270712852478,1345,1405,1532,0.012130425311625004
eg,1.0000461339950562,0.14747220277786255,1353,1414,1228,1.1139540672302246,1346,1407,1532,0.012295989319682121
m0,1.0000789165496826,0.1956072449684143,1378,1424,1192,1.1977028846740723,1336,1382,1568,0.015157869085669518
